koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_steff_err1,koi_model_snr
0,0,0,71,12.6
0,0,0,163,36.1
0,1,1,174,238.6
0,0,0,115,200.0
1,0,0,150,578.6
0,1,0,228,1441.9
0,0,1,157,549.5
0,1,0,159,179.0
0,0,0,148,41.9
0,0,0,73,56.6
0,0,0,73,44.8
0,0,0,73,46.4
0,0,0,73,45.3
0,1,0,123,628.1
0,0,1,162,42.9
0,0,0,169,29.5
0,0,1,121,39.7
0,0,0,84,51.7
0,0,0,105,318.3
0,1,1,82,180.6
0,1,0,179,56.0
0,0,1,176,30.7
0,0,0,164,61.9
0,0,0,159,38.0
0,0,0,171,166.3
0,1,0,242,4061.9
0,0,0,155,794.3
0,0,0,160,59.1
0,0,0,160,39.3
0,1,1,65,18.3
0,0,1,80,35.4
0,0,0,167,15.6
1,0,1,83,100.1
0,0,0,195,43.2
0,0,0,169,79.7
0,0,0,111,147.2
0,0,0,79,24.6
0,0,0,79,25.6
0,0,0,103,97.4
0,0,0,169,54.3
0,0,0,97,60.0
0,0,0,0,2981.3
0,1,0,159,1642.2
0,0,1,206,130.0
0,1,1,73,603.4
0,1,0,175,2477.0
0,1,1,141,294.8
0,1,0,197,445.7
0,1,1,160,36.7
0,0,0,78,54.7
1,0,1,168,52.4
0,0,0,80,28.6
0,0,1,58,88.8
0,0,0,107,56.3
0,0,0,107,11.4
0,0,0,190,20.8
0,0,0,44,111.4
0,1,0,44,150.4
0,1,0,167,806.5
0,1,1,171,274.9
0,1,1,187,137.5
1,0,1,168,149.3
0,1,1,181,124.3
0,1,0,184,56.3
0,0,0,153,40.8
0,0,0,153,29.3
0,0,0,153,13.2
0,0,0,79,51.8
0,0,0,185,32.3
0,0,0,112,161.5
0,0,0,112,106.2
0,0,0,70,31.1
0,0,0,76,99.8
0,0,0,76,49.4
0,0,0,86,33.8
0,0,0,76,46.9
0,0,0,82,48.9
0,0,0,82,32.9
1,0,0,65,45.3
0,0,0,84,23.3
0,0,0,84,14.3
0,0,0,111,22.1
0,0,0,111,17.4
0,0,0,116,109.3
0,0,0,190,26.4
0,0,0,190,15.2
0,0,0,106,26.2
0,0,0,106,32.1
0,0,0,88,40.3
0,0,0,88,21.3
0,0,0,88,27.5
0,0,0,112,197.9
0,0,0,101,34.5
0,0,0,82,163.2
0,1,1,179,32.0
0,0,1,168,27.4
0,0,0,111,14.6
0,0,0,74,33.0
0,0,0,74,28.7
0,0,0,113,83.1
0,0,0,113,42.8
0,0,0,106,19.6
0,0,0,156,50.7
0,0,0,101,16.6
0,0,0,101,18.0
0,0,0,101,15.0
0,0,0,76,23.9
0,1,0,162,1454.3
0,1,0,190,898.4
0,1,1,183,272.3
0,1,0,152,426.0
0,0,0,81,50.6
0,0,0,88,31.7
0,0,0,79,25.8
0,0,0,156,29.1
0,1,0,125,2486.5
0,0,0,83,53.8
0,1,1,103,110.3
0,0,0,161,56.4
0,0,0,139,26.8
0,0,0,139,24.6
1,0,1,120,203.6
0,0,0,79,77.5
0,0,1,161,85.2
0,1,1,158,220.3
0,0,0,121,36.3
0,0,0,113,53.8
0,1,0,186,300.6
0,0,0,84,31.9
0,0,0,152,28.1
0,1,1,154,56.9
0,0,1,163,36.9
0,0,1,154,37.7
0,0,0,107,234.6
0,0,0,174,19.0
0,1,1,59,86.7
0,1,0,191,376.5
0,1,0,190,257.8
0,0,0,185,343.4
0,1,1,197,109.7
0,0,0,120,81.7
0,0,1,225,32.9
0,1,1,195,37.6
0,0,1,114,45.0
0,1,0,124,250.8
0,0,0,136,107.1
0,1,0,159,1555.4
0,1,0,175,334.8
0,1,0,152,3622.7
0,0,0,83,162.3
0,0,0,83,18.1
0,0,1,179,93.6
0,0,0,166,247.8
0,1,1,176,169.0
0,0,0,157,150.9
0,0,1,183,35.3
0,1,1,204,19.3
0,0,1,114,20.8
0,0,0,101,35.3
0,1,1,75,48.5
0,1,0,171,456.6
0,0,0,157,20.7
0,1,1,221,46.9
0,0,0,109,75.3
0,1,1,124,39.3
0,1,1,156,74.5
0,0,0,167,58.0
0,1,1,164,33.6
0,1,1,173,104.5
0,1,1,139,43.0
0,1,0,169,336.4
1,0,0,156,628.3
0,1,0,164,1309.3
0,0,0,103,93.6
0,1,0,160,633.1
0,0,0,113,36.3
0,1,0,150,292.7
0,1,0,187,420.9
0,1,0,187,366.8
0,0,0,159,59.0
0,0,0,159,34.1
0,0,0,75,370.2
0,0,0,152,62.6
0,0,0,85,17.4
0,0,0,85,20.9
